Год;Все типы квартир;Квартиры низкого качества;Квартиры среднего качества (типовые);Квартиры улучшенного качества;Элитные квартиры
1998;4941;3943;4431;5400;8247
1999;6151;4548;5371;6605;12130
2000;6590;5483;6422;7422;12009
2001;9072;7152;8789;9927;15476
2002;11557;9183;11254;12467;16663
2003;13967;12004;13659;14720;22906
2004;17931;15457;17911;18929;30405
2005;22166;19247;21915;23486;34995
2006;36615;32961;36198;38616;67979
2007;47206;40589;44630;48383;71549
2008;56495;50010;53752;57506;83207
2009;52895;48439;48940;53956;88140
2010;59998;54203;56762;60814;105302
2011;48243;42368;44002;50858;73168
2012;56370;48102;51279;60847;84525
2013;56478;49289;51419;60738;97811
2014;58085;51584;52664;62288;99261
2015;56283;49769;51574;60347;85084
2016;53983;45149;49359;59051;75256
2017;52350;42486;48159;57673;75032
2018;54924;47050;51157;59248;78245
2019;58528;49122;53864;63117;84334
2020;66712;52569;61020;72486;103043
